Team,Nickname,Full Team Name,School,City,State,Enrollment,Conference,Classification,Stadium,Capacity,Surface,Former Conferences,First Played,Joined FBS or FCS,Lat,Long,Bordering_States,State,case_when
Ohio State,Buckeyes,Ohio State Buckeyes,Ohio State University,Columbus,OH,28500,Big Ten,FBS,Ohio Stadium,"102,780",FieldTurf,"Oklahoma Intercollegiate Conference, SWC, MVC, Big 8",1895,,40.001648,-83.019731,"'IN','KY','MI','PA','WV'","'Ohio State',","stateProvince=='OH'&college_state %in% c('IN','KY','MI','PA','WV') ~ 'Bordering State'"
Oklahoma,Sooners,Oklahoma Sooners,University of Oklahoma,Norman,OK,25300,Big 12,FBS,Gaylord Family - Oklahoma Memorial Stadium at Owen Field,"86,112",Grass,"Oklahoma Intercollegiate Conference, SWC, MVC, Big 8",1901,,35.205847,-97.442313,"'AR','CO','KS','MO','NM','TX'","'Oklahoma',","stateProvince=='OK'&college_state %in% c('AR','CO','KS','MO','NM','TX') ~ 'Bordering State'"
Oklahoma State,Cowboys,Oklahoma State Cowboys,Oklahoma State University,Stillwater,OK,25000,Big 12,FBS,Boone Pickens Stadium,"60,218",Astroturf 3D Decade,CAA,2009,2014,36.125689,-97.066453,"'AR','CO','KS','MO','NM','TX'","'Oklahoma State',","stateProvince=='OK'&college_state %in% c('AR','CO','KS','MO','NM','TX') ~ 'Bordering State'"
Old Dominion,Monarchs,Old Dominion Monarchs,Old Dominion University,Norfolk,VA,23200,C-USA,FBS,Kornblau Field at S.B. Ballard Stadium,"22,480",AstroTurf GameDay Grass 3D,"SIAA, SoCon",1890,,36.888911,-76.304885,"'KY','MD','NC','TN','WV'","'Old Dominion',","stateProvince=='VA'&college_state %in% c('KY','MD','NC','TN','WV') ~ 'Bordering State'"
Ole Miss,Rebels,Ole Miss Rebels,University of Mississippi,Oxford,MS,22200,SEC,FBS,Vaught-Hemingway Stadium at Hollingsworth Field,"64,038",Grass,"SIAA, SoCon",1895,,34.361971,-89.534229,"'AL','AR','LA','TN'","'Ole Miss',","stateProvince=='MS'&college_state %in% c('AL','AR','LA','TN') ~ 'Bordering State'"
Oregon,Ducks,Oregon Ducks,University of Oregon,Eugene,OR,22700,Pac-12,FBS,Autzen Stadium,"54,000",FieldTurf,"PCC, Independent",1894,,44.058277,-123.06851,"'CA','ID','NV','WA'","'Oregon',","stateProvince=='OR'&college_state %in% c('CA','ID','NV','WA') ~ 'Bordering State'"
Oregon State,Beavers,Oregon State Beavers,Oregon State University,Corvallis,OR,30900,Pac-12,FBS,Reser Stadium,"45,674",FieldTurf,"PCC, Independent",1893,,44.559537,-123.281379,"'CA','ID','NV','WA'","'Oregon State',","stateProvince=='OR'&college_state %in% c('CA','ID','NV','WA') ~ 'Bordering State'"
Penn State,Nittany Lions,Penn State Nittany Lions,Penn State University,University Park,PA,46600,Big Ten,FBS,Beaver Stadium,"106,572",Grass,,1881,,40.812212,-77.856112,"'DE','MD','NJ','NY','OH','WV'","'Penn State',","stateProvince=='PA'&college_state %in% c('DE','MD','NJ','NY','OH','WV') ~ 'Bordering State'"
Pittsburgh,Panthers,Pittsburgh Panthers,University of Pittsburgh,Pittsburgh,PA,28600,ACC,FBS,Heinz Field,"68,400",Grass,Big East,1890,,40.44679,-80.015768,"'DE','MD','NJ','NY','OH','WV'","'Pittsburgh',","stateProvince=='PA'&college_state %in% c('DE','MD','NJ','NY','OH','WV') ~ 'Bordering State'"
Purdue,Boilermakers,Purdue Boilermakers,Purdue University,West Lafayette,IN,43400,Big Ten,FBS,Ross-Ade Stadium,"57,236",Grass,IIAA,1887,,40.434432,-86.918436,"'IL','KY','MI','OH'","'Purdue',","stateProvince=='IN'&college_state %in% c('IL','KY','MI','OH') ~ 'Bordering State'"
Rice,Owls,Rice Owls,Rice University,Houston,TX,7100,C-USA,FBS,Rice Stadium,"47,000",AstroTurf 3D60H Synthetic Turf,"TIAA, SWC, WAC",1912,,29.716329,-95.409317,"'AR','LA','NM','OK'","'Rice',","stateProvince=='TX'&college_state %in% c('AR','LA','NM','OK') ~ 'Bordering State'"
Rutgers,Scarlet Knights,Rutgers Scarlet Knights,Rutgers University,Piscataway,NJ,70900,Big Ten,FBS,SHI Stadium,"52,454",FieldTurf,"Middle Atlantic, Big East, American",1869,,40.513563,-74.465303,"'DE','NY','PA'","'Rutgers',","stateProvince=='NJ'&college_state %in% c('DE','NY','PA') ~ 'Bordering State'"
San Diego State,Aztecs,San Diego State Aztecs,San Diego State University,San Diego,CA,34900,Mountain West,FBS,SDCCU Stadium,"70,561",Grass,"Southern California Junior College Conference, SCIAC, CCAA, Big West, WAC",1921,1969,32.783143,-117.119561,"'AZ','NV','OR'","'San Diego State',","stateProvince=='CA'&college_state %in% c('AZ','NV','OR') ~ 'Bordering State'"
San Jose State,Spartans,San Jose State Spartans,San Jose State University,San Jose,CA,32800,Mountain West,FBS,CEFCU Stadium,"30,456",AstroTurf,"California Coast Conference, NCAC, California Collegiate, Big West, WAC",1892,,37.319725,-121.868291,"'AZ','NV','OR'","'San Jose State',","stateProvince=='CA'&college_state %in% c('AZ','NV','OR') ~ 'Bordering State'"
SMU,Mustangs,SMU Mustangs,Southern Methodist University,University Park,TX,11800,American,FBS,Gerald J. Ford Stadium,"32,000",FieldTurf,"TIAA, SWC, WAC, C-USA[n 3]",1915,,32.837744,-96.782753,"'AR','LA','NM','OK'","'SMU',","stateProvince=='TX'&college_state %in% c('AR','LA','NM','OK') ~ 'Bordering State'"
South Alabama,Jaguars,South Alabama Jaguars,University of South Alabama,Mobile,AL,15100,Sun Belt,FBS,Ladd-Peebles Stadium,"40,000",FieldTurf,,2009,2012,30.67307,-88.075614,"'FL','GA','MS','TN'","'South Alabama',","stateProvince=='AL'&college_state %in% c('FL','GA','MS','TN') ~ 'Bordering State'"
South Carolina,Gamecocks,South Carolina Gamecocks,University of South Carolina,Columbia,SC,50100,SEC,FBS,Williams-Brice Stadium,"80,250",Grass,"SIAA, SoCon, ACC",1892,,33.97309,-81.019183,"'GA','NC'","'South Carolina',","stateProvince=='SC'&college_state %in% c('GA','NC') ~ 'Bordering State'"
Southern Mississippi,Golden Eagles,Southern Miss Golden Eagles,University of Southern Mississippi,Hattiesburg,MS,14500,C-USA,FBS,Carlisle-Faulkner Field at M.M. Roberts Stadium,"36,000",Shaw Sports Momentum Turf,"Gulf States Conference, SIAA",1912,,31.329019,-89.33123,"'AL','AR','LA','TN'","'Southern Mississippi',","stateProvince=='MS'&college_state %in% c('AL','AR','LA','TN') ~ 'Bordering State'"
Stanford,Cardinal,Stanford Cardinal,Stanford University,Stanford,CA,16500,Pac-12,FBS,Stanford Stadium,"50,424",Grass,PCC,1891,,37.434501,-122.161095,"'AZ','NV','OR'","'Stanford',","stateProvince=='CA'&college_state %in% c('AZ','NV','OR') ~ 'Bordering State'"
Syracuse,Orange,Syracuse Orange,Syracuse University,Syracuse,NY,22900,ACC,FBS,Carrier Dome,"49,250",FieldTurf,Big East,1889,,43.036219,-76.136372,"'CT','MA','NJ','PA','RI','VT'","'Syracuse',","stateProvince=='NY'&college_state %in% c('CT','MA','NJ','PA','RI','VT') ~ 'Bordering State'"
TCU,Frogs,TCU Horned Frogs,Texas Christian University,Fort Worth,TX,10400,Big 12,FBS,Amon G. Carter Stadium,"45,000",Grass,"TIAA, SWC, WAC, C-USA, MW",1896,,32.709638,-97.368092,"'AR','LA','NM','OK'","'TCU',","stateProvince=='TX'&college_state %in% c('AR','LA','NM','OK') ~ 'Bordering State'"
Temple,Owls,Temple Owls,Temple University,Philadelphia,PA,40000,American,FBS,Lincoln Financial Field,"68,532",Desso GrassMaster,"Middle Atlantic, Big East, MAC, Big East",1894,,39.900797,-75.167458,"'DE','MD','NJ','NY','OH','WV'","'Temple',","stateProvince=='PA'&college_state %in% c('DE','MD','NJ','NY','OH','WV') ~ 'Bordering State'"
Tennessee,Volunteers,Tennessee Volunteers,University of Tennessee,Knoxville,TN,28900,SEC,FBS,Neyland Stadium,"102,455",Grass,"SIAA, SoCon",1891,,35.957992,-83.924975,"'AL','AR','GA','KY','MS','MO','NC','VA'","'Tennessee',","stateProvince=='TN'&college_state %in% c('AL','AR','GA','KY','MS','MO','NC','VA') ~ 'Bordering State'"
Texas,Longhorns,Texas Longhorns,University of Texas,Austin,TX,51800,Big 12,FBS,Darrell K Royal-Texas Memorial Stadium,"100,119",FieldTurf,"SIAA, TIAA, SWC",1893,,30.283659,-97.732531,"'AR','LA','NM','OK'","'Texas',","stateProvince=='TX'&college_state %in% c('AR','LA','NM','OK') ~ 'Bordering State'"
Texas A&M,Aggies,Texas A&M Aggies,Texas A&M University,College Station,TX,69400,SEC,FBS,Kyle Field,"102,733",Grass,"SIAA, SWC, Big 12",1894,,30.609797,-96.340385,"'AR','LA','NM','OK'","'Texas A&M',","stateProvince=='TX'&college_state %in% c('AR','LA','NM','OK') ~ 'Bordering State'"
Texas State,Bobcats,Texas State Bobcats,Texas State University,San Marcos,TX,38800,Sun Belt,FBS,Jim Wacker Field at Bobcat Stadium,"30,000",FieldTurf Duraspine Pro,"TIAA, Lone Star, Gulf Star, Southland, WAC",1904,2012,29.891032,-97.92553,"'AR','LA','NM','OK'","'Texas State',","stateProvince=='TX'&college_state %in% c('AR','LA','NM','OK') ~ 'Bordering State'"
Texas Tech,Red Raiders,Texas Tech Red Raiders,Texas Tech University,Lubbock,TX,38200,Big 12,FBS,Jones AT&T Stadium,"60,862",FieldTurf,"BIAA, SWC",1925,,33.591066,-101.87291,"'AR','LA','NM','OK'","'Texas Tech',","stateProvince=='TX'&college_state %in% c('AR','LA','NM','OK') ~ 'Bordering State'"
Toledo,Rockets,Toledo Rockets,University of Toledo,Toledo,OH,23100,MAC,FBS,Glass Bowl,"26,248",FieldTurf,"Northwestern Ohio Intercollegiate Athletic Association, OAC",1917,,41.65728,-83.613579,"'IN','KY','MI','PA','WV'","'Toledo',","stateProvince=='OH'&college_state %in% c('IN','KY','MI','PA','WV') ~ 'Bordering State'"
Troy,Trojans,Troy Trojans,Troy University,Troy,AL,18100,Sun Belt,FBS,Veterans Memorial Stadium at Larry Blakeney Field,"30,402",ProGrass,"Alabama Intercollegiate Conference, SIAA, Alabama Collegiate Conference, Mid-South Athletic Conference, Gulf South, Southland",1909,2002,31.799559,-85.951844,"'FL','GA','MS','TN'","'Troy',","stateProvince=='AL'&college_state %in% c('FL','GA','MS','TN') ~ 'Bordering State'"
Tulane,Green Wave,Tulane Green Wave,Tulane University,New Orleans,LA,14100,American,FBS,Benson Field at Yulman Stadium,"30,000",Act Global UBU Speed Series S5-M,"SIAA, SoCon, SEC, C-USA",1893,,29.944613,-90.116702,"'AR','MS','TX'","'Tulane',","stateProvince=='LA'&college_state %in% c('AR','MS','TX') ~ 'Bordering State'"
Tulsa,Golden Hurricane,Tulsa Golden Hurricane,The University of Tulsa,Tulsa,OK,4300,American,FBS,Skelly Field at H. A. Chapman Stadium,"30,000",FieldTurf,"Oklahoma Intercollegiate Conference, Big 4 Conference, MVC, WAC, C-USA",1895,,36.148876,-95.943782,"'AR','CO','KS','MO','NM','TX'","'Tulsa',","stateProvince=='OK'&college_state %in% c('AR','CO','KS','MO','NM','TX') ~ 'Bordering State'"
UAB,Blazers,UAB Blazers,University of Alabama-Birmingham,Birmingham,AL,21900,C-USA,FBS,Legion Field,"71,594",FieldTurf,,1991,1999,33.511491,-86.842652,"'FL','GA','MS','TN'","'UAB',","stateProvince=='AL'&college_state %in% c('FL','GA','MS','TN') ~ 'Bordering State'"
UCF,Knights,UCF Knights,University of Central Florida,Orlando,FL,68600,American,FBS,Spectrum Stadium,"44,206",Tifway 419 Bermuda,"MAC, C-USA",1979,1996,28.608262,-81.192621,"'AL','GA'","'UCF',","stateProvince=='FL'&college_state %in% c('AL','GA') ~ 'Bordering State'"
UCLA,Bruins,UCLA Bruins,University of California-Los Angeles,Pasadena,CA,45400,Pac-12,FBS,Rose Bowl Stadium,"90,888",Grass,"SCIAC, PCC",1919,,34.161333,-118.167629,"'AZ','NV','OR'","'UCLA',","stateProvince=='CA'&college_state %in% c('AZ','NV','OR') ~ 'Bordering State'"
UConn,Huskies,UConn Huskies,University of Connecticut,East Hartford,CT,32200,Independent,FBS,Pratt & Whitney Stadium at Rentschler Field,"40,000",Kentucky Bluegrass,"Yankee, A-10, Big East, American",1896,2000,41.759623,-72.618818,"'MA','NY','RI'","'UConn',","stateProvince=='CT'&college_state %in% c('MA','NY','RI') ~ 'Bordering State'"
UMass,Minutemen,UMass Minutemen,University of Massachusetts,Hadley,MA,30600,Independent,FBS,Warren McGuirk Alumni Stadium,"17,000",FieldTurf,"Yankee, A-10, CAA, MAC",1879,2012,42.377314,-72.53603,"'CT','NY','NH','RI','VT'","'UMass',","stateProvince=='MA'&college_state %in% c('CT','NY','NH','RI','VT') ~ 'Bordering State'"
UNLV,Rebels,UNLV Rebels,University of Nevada-Las Vegas,Whitney,NV,30500,Mountain West,FBS,Sam Boyd Stadium,"36,800",Sprinturf,"Big West, WAC",1968,1978,36.086254,-115.016722,"'AZ','CA','ID','OR','UT'","'UNLV',","stateProvince=='NV'&college_state %in% c('AZ','CA','ID','OR','UT') ~ 'Bordering State'"
USC,Trojans,USC Trojans,University of Southern California,Los Angeles,CA,50700,Pac-12,FBS,Los Angeles Memorial Coliseum,"77,500",Grass,"C-USA, Big East",1997,2001,34.01404,-118.288008,"'AZ','NV','OR'","'USC',","stateProvince=='CA'&college_state %in% c('AZ','NV','OR') ~ 'Bordering State'"
USF,Bulls,USF Bulls,University of South Florida,Tampa,FL,45700,American,FBS,Raymond James Stadium,"65,857",Grass,PCC,1888,,27.975965,-82.503346,"'AL','GA'","'USF',","stateProvince=='FL'&college_state %in% c('AL','GA') ~ 'Bordering State'"
UT San Antonio,Roadrunners,UTSA Roadrunners,University of Texas-San Antonio,San Antonio,TX,29400,C-USA,FBS,Alamodome,"65,000",SportField,"Colorado Football Association, RMAC, Mountain States, Big West, Independent, Sun Belt, WAC",1892,,29.416877,-98.478893,"'AR','LA','NM','OK'","'UT San Antonio',","stateProvince=='TX'&college_state %in% c('AR','LA','NM','OK') ~ 'Bordering State'"
Utah,Utes,Utah Utes,University of Utah,Salt Lake City,UT,25100,Pac-12,FBS,Rice-Eccles Stadium,"47,825",FieldTurf CoolPlay,"BIAA, WAC",1914,,40.759977,-111.84884,"'AZ','CO','ID','NV','NM','WY'","'Utah',","stateProvince=='UT'&college_state %in% c('AZ','CO','ID','NV','NM','WY') ~ 'Bordering State'"
Utah State,Aggies,Utah State Aggies,Utah State University,Logan,UT,30700,Mountain West,FBS,Merlin Olsen Field at Maverik Stadium,"25,513",AstroTurf GameDay Grass 3D60 Extreme,WAC,2011,2012,41.751739,-111.81158,"'AZ','CO','ID','NV','NM','WY'","'Utah State',","stateProvince=='UT'&college_state %in% c('AZ','CO','ID','NV','NM','WY') ~ 'Bordering State'"
UTEP,Miners,UTEP Miners,University of Texas-El Paso,El Paso,TX,33000,C-USA,FBS,Sun Bowl Stadium,"51,500",FieldTurf,"Colorado Football Association, RMAC, Mountain States, WAC, MW",1892,,31.773334,-106.507966,"'AR','LA','NM','OK'","'UTEP',","stateProvince=='TX'&college_state %in% c('AR','LA','NM','OK') ~ 'Bordering State'"
UTSA,Roadrunners,UTSA Roadrunners,University of Texas-San Antonio,San Antonio,TX,29400,C-USA,FBS,Alamodome,"65,000",SportField,"Colorado Football Association, RMAC, Mountain States, Big West, Independent, Sun Belt, WAC",1892,,29.416877,-98.478893,"'AR','LA','NM','OK'","'UTSA',","stateProvince=='TX'&college_state %in% c('AR','LA','NM','OK') ~ 'Bordering State'"
Vanderbilt,Commodores,Vanderbilt Commodores,Vanderbilt University,Nashville,TN,13100,SEC,FBS,Vanderbilt Stadium,"40,350",Shaw Sports Legion 46,"SIAA, SoCon",1890,,36.144019,-86.808907,"'AL','AR','GA','KY','MS','MO','NC','VA'","'Vanderbilt',","stateProvince=='TN'&college_state %in% c('AL','AR','GA','KY','MS','MO','NC','VA') ~ 'Bordering State'"
Virginia,Cavaliers,Virginia Cavaliers,University of Virginia,Charlottesville,VA,24400,ACC,FBS,"Carl Smith Center, Home of David A. Harrison III Field at Scott Stadium","61,500",Grass,"SAIAA, SoCon",1888,,38.031117,-78.513687,"'KY','MD','NC','TN','WV'","'Virginia',","stateProvince=='VA'&college_state %in% c('KY','MD','NC','TN','WV') ~ 'Bordering State'"
Virginia Tech,Hokies,Virginia Tech Hokies,Virginia Polytechnic Institute and State University,Blacksburg,VA,33400,ACC,FBS,Lane Stadium/Worsham Field,"66,233",Grass,"SAIAA, SIAA, SoCon, Big East",1892,,37.219997,-80.418048,"'KY','MD','NC','TN','WV'","'Virginia Tech',","stateProvince=='VA'&college_state %in% c('KY','MD','NC','TN','WV') ~ 'Bordering State'"
Wake Forest,Demon Deacons,Wake Forest Demon Deacons,Wake Forest University,Winston-Salem,NC,8100,ACC,FBS,BB&T Field,"31,500",FieldTurf,"Big Five Conference, SoCon",1888,,36.130575,-80.25456,"'GA','SC','TN','VA'","'Wake Forest',","stateProvince=='NC'&college_state %in% c('GA','SC','TN','VA') ~ 'Bordering State'"
Washington,Huskies,Washington Huskies,University of Washington,Seattle,WA,47900,Pac-12,FBS,Alaska Airlines Field at Husky Stadium,"70,500",FieldTurf,PCC,1889,,47.650314,-122.301613,"'ID','OR'","'Washington',","stateProvince=='WA'&college_state %in% c('ID','OR') ~ 'Bordering State'"
Washington State,Cougars,Washington State Cougars,Washington State University,Pullman,WA,30600,Pac-12,FBS,Martin Stadium,"32,248",FieldTurf,"PCC, Independent",1893,,46.731829,-117.160467,"'ID','OR'","'Washington State',","stateProvince=='WA'&college_state %in% c('ID','OR') ~ 'Bordering State'"
West Virginia,Mountaineers,West Virginia Mountaineers,West Virginia University,Morgantown,WV,30000,Big 12,FBS,Mountaineer Field at Milan Puskar Stadium,"60,000",FieldTurf,"SoCon, WVIAC, Big East",1891,,39.650176,-79.95508,"'KY','MD','OH','PA','VA'","'West Virginia',","stateProvince=='WV'&college_state %in% c('KY','MD','OH','PA','VA') ~ 'Bordering State'"
Western Kentucky,Hilltoppers,Western Kentucky Hilltoppers,Western Kentucky University,Bowling Green,KY,20300,C-USA,FBS,Houchens Industries-L. T. Smith Stadium at Jimmy Feix Field,"22,113",FieldTurf,"SIAA, KIAC, OVC, MVFC, Sun Belt",1913,2009,36.984751,-86.4594,"'IL','IN','MO','OH','TN','VA','WV'","'Western Kentucky',","stateProvince=='KY'&college_state %in% c('IL','IN','MO','OH','TN','VA','WV') ~ 'Bordering State'"
Western Michigan,Broncos,Western Michigan Broncos,Western Michigan University,Kalamazoo,MI,22900,MAC,FBS,Waldo Stadium,"30,200",FieldTurf,MCC,1905,,42.285751,-85.601093,"'IL','IN','MN','OH','WI'","'Western Michigan',","stateProvince=='MI'&college_state %in% c('IL','IN','MN','OH','WI') ~ 'Bordering State'"
Wisconsin,Badgers,Wisconsin Badgers,University of Wisconsin,Madison,WI,44400,Big Ten,FBS,Camp Randall Stadium,"80,321",FieldTurf,,1889,,43.069936,-89.412678,"'IL','IA','MI','MN'","'Wisconsin',","stateProvince=='WI'&college_state %in% c('IL','IA','MI','MN') ~ 'Bordering State'"
Wyoming,Cowboys,Wyoming Cowboys,University of Wyoming,Laramie,WY,12400,Mountain West,FBS,Jonah Field at War Memorial Stadium,"29,181",FieldTurf,"Colorado Football Association, RMAC, WAC",1893,,41.311701,-105.568263,"'CO','ID','MT','NE','SD','UT'","'Wyoming',","stateProvince=='WY'&college_state %in% c('CO','ID','MT','NE','SD','UT') ~ 'Bordering State'"
Abilene Christian,Wildcats,Abilene Christian Wildcats,Abilene Christian University,Abilene,TX,5315,Southland,FCS,Anthony Field at Wildcat Stadium,"12,000",FieldTurf,,1919,,32.472238,-99.710423,"'AR','LA','NM','OK'","'Abilene Christian',","stateProvince=='TX'&college_state %in% c('AR','LA','NM','OK') ~ 'Bordering State'"
Alabama A&M,Bulldogs,Alabama A&M Bulldogs,Alabama A&M University,Huntsville,AL,6001,SWAC,FCS,Louis Crews Stadium,"21,000",Astro Turf,,1912,,34.783625,-86.578379,"'FL','GA','MS','TN'","'Alabama A&M',","stateProvince=='AL'&college_state %in% c('FL','GA','MS','TN') ~ 'Bordering State'"
Alabama State,Hornets,Alabama State Hornets,Alabama State University,Montgomery,AL,5475,SWAC,FCS,New ASU Stadium,"26,500",Astro Turf,,1901,,32.364912,-86.298548,"'FL','GA','MS','TN'","'Alabama State',","stateProvince=='AL'&college_state %in% c('FL','GA','MS','TN') ~ 'Bordering State'"
Albany,Great Danes,Albany Great Danes,"University at Albany, SUNY",Albany,NY,17743,CAA,FCS,Bob Ford Field,"8,500",FieldTurf,,1973,,42.68078,-73.827282,"'CT','MA','NJ','PA','RI','VT'","'Albany',","stateProvince=='NY'&college_state %in% c('CT','MA','NJ','PA','RI','VT') ~ 'Bordering State'"
Alcorn State,Braves,Alcorn State Braves,Alcorn State University,Lorman,MS,3523,SWAC,FCS,Jack Spinks Stadium,"22,500",Grass,,1921,,31.873565,-91.134955,"'AL','AR','LA','TN'","'Alcorn State',","stateProvince=='MS'&college_state %in% c('AL','AR','LA','TN') ~ 'Bordering State'"
Arkansas-Pine Bluff,Golden Lions,Arkansas-Pine Bluff Golden Lions,University of Arkansas at Pine Bluff,Pine Bluff,AR,2498,SWAC,FCS,Golden Lion Stadium,"16,000",GeoGreen,,1916,,34.253343,-92.02147,"'LA','MS','MO','OK','TN','TX'","'Arkansas-Pine Bluff',","stateProvince=='AR'&college_state %in% c('LA','MS','MO','OK','TN','TX') ~ 'Bordering State'"
Austin Peay,Governors,Austin Peay Governors,Austin Peay State University,Clarksville,TN,10723,Ohio Valley,FCS,Fortera Stadium,"10,000",AstroTurf,,1930,,36.536269,-87.352557,"'AL','AR','GA','KY','MS','MO','NC','VA'","'Austin Peay',","stateProvince=='TN'&college_state %in% c('AL','AR','GA','KY','MS','MO','NC','VA') ~ 'Bordering State'"
Bethune-Cookman,Wildcats,Bethune-Cookman Wildcats,Bethune–Cookman University,Daytona Beach,FL,4037,MEAC,FCS,Municipal Stadium,"10,000",Artificial turf,,1925,,29.173475,-81.117515,"'AL','GA'","'Bethune-Cookman',","stateProvince=='FL'&college_state %in% c('AL','GA') ~ 'Bordering State'"
Brown,Bears,Brown Bears,Brown University,Providence,RI,10333,Ivy,FCS,Brown Stadium,"20,000",Grass,,1878,,41.842132,-71.394319,"'CT','MA','NY'","'Brown',","stateProvince=='RI'&college_state %in% c('CT','MA','NY') ~ 'Bordering State'"
Bryant,Bulldogs,Bryant Bulldogs,Bryant University,Smithfield,RI,3751,Northeast,FCS,Beirne Stadium,"4,400",Grass,,1999,,41.924224,-71.538529,"'CT','MA','NY'","'Bryant',","stateProvince=='RI'&college_state %in% c('CT','MA','NY') ~ 'Bordering State'"
Bucknell,Bison,Bucknell Bison,Bucknell University,Lewisburg,PA,3660,Patriot,FCS,Christy Mathewson–Memorial Stadium,"13,100",FieldTurf,,1883,,40.951867,-76.885411,"'DE','MD','NJ','NY','OH','WV'","'Bucknell',","stateProvince=='PA'&college_state %in% c('DE','MD','NJ','NY','OH','WV') ~ 'Bordering State'"
Butler,Bulldogs,Butler Bulldogs,Butler University,Indianapolis,IN,5022,Pioneer,FCS,Bud and Jackie Sellick Bowl,"5,500",FieldTurf,,1887,,39.844468,-86.165841,"'IL','KY','MI','OH'","'Butler',","stateProvince=='IN'&college_state %in% c('IL','KY','MI','OH') ~ 'Bordering State'"
Cal Poly,Mustangs,Cal Poly Mustangs,California Polytechnic State University,San Luis Obispo,CA,,Big Sky,FCS,Alex G. Spanos Stadium,"11,075",,,1915,,35.298435,-120.665045,"'AZ','NV','OR'","'Cal Poly',","stateProvince=='CA'&college_state %in% c('AZ','NV','OR') ~ 'Bordering State'"
Campbell,Fighting Camels,Campbell Fighting Camels,Campbell University,Buies Creek,NC,,Big South,FCS,Barker–Lane Stadium,"5,000",,,2008,,35.404613,-78.742647,"'GA','SC','TN','VA'","'Campbell',","stateProvince=='NC'&college_state %in% c('GA','SC','TN','VA') ~ 'Bordering State'"
Central Arkansas,Bears,Central Arkansas Bears,University of Central Arkansas,Conway,AR,,Southland,FCS,Estes Stadium,"10,000",,,1908,,35.080249,-92.460023,"'LA','MS','MO','OK','TN','TX'","'Central Arkansas',","stateProvince=='AR'&college_state %in% c('LA','MS','MO','OK','TN','TX') ~ 'Bordering State'"
Central Connecticut,Blue Devils,Central Connecticut Blue Devils,Central Connecticut State University,New Britain,CT,,Northeast,FCS,Arute Field,"5,500",,,1935,,41.695079,-72.761626,"'MA','NY','RI'","'Central Connecticut',","stateProvince=='CT'&college_state %in% c('MA','NY','RI') ~ 'Bordering State'"
Charleston Southern,Buccaneers,Charleston Southern Buccaneers,Charleston Southern University,North Charleston,SC,,Big South,FCS,Buccaneer Field,"4,000",,,1985,,32.978234,-80.067843,"'GA','NC'","'Charleston Southern',","stateProvince=='SC'&college_state %in% c('GA','NC') ~ 'Bordering State'"
Chattanooga,Mocs,Chattanooga Mocs,University of Tennessee at Chattanooga,Chattanooga,TN,,Southern,FCS,Finley Stadium,"20,668",,,1899,,35.036339,-85.315688,"'AL','AR','GA','KY','MS','MO','NC','VA'","'Chattanooga',","stateProvince=='TN'&college_state %in% c('AL','AR','GA','KY','MS','MO','NC','VA') ~ 'Bordering State'"
Colgate,Raiders,Colgate Raiders,Colgate University,Hamilton,NY,,Patriot,FCS,Andy Kerr Stadium,"10,221",,,1890,,42.816558,-75.54583,"'CT','MA','NJ','PA','RI','VT'","'Colgate',","stateProvince=='NY'&college_state %in% c('CT','MA','NJ','PA','RI','VT') ~ 'Bordering State'"
Columbia,Lions,Columbia Lions,Columbia University,Manhattan,NY,,Ivy,FCS,Lawrence A. Wien Stadium,"17,000",,,1870,,40.873233,-73.916458,"'CT','MA','NJ','PA','RI','VT'","'Columbia',","stateProvince=='NY'&college_state %in% c('CT','MA','NJ','PA','RI','VT') ~ 'Bordering State'"
Cornell,Big Red,Cornell Big Red,Cornell University,Ithaca,NY,,Ivy,FCS,Schoellkopf Field,"25,597",,,1887,,42.444087,-76.478653,"'CT','MA','NJ','PA','RI','VT'","'Cornell',","stateProvince=='NY'&college_state %in% c('CT','MA','NJ','PA','RI','VT') ~ 'Bordering State'"
Dartmouth,Big Green,Dartmouth Big Green,Dartmouth College,Hanover,NH,,Ivy,FCS,Memorial Field,"15,000",,,1881,,43.701308,-72.284247,"'ME','MA','VT'","'Dartmouth',","stateProvince=='NH'&college_state %in% c('ME','MA','VT') ~ 'Bordering State'"
Davidson,Wildcats,Davidson Wildcats,Davidson College,Davidson,NC,,Pioneer,FCS,Richardson Stadium,"6,000",,,1896,,35.499603,-80.842847,"'GA','SC','TN','VA'","'Davidson',","stateProvince=='NC'&college_state %in% c('GA','SC','TN','VA') ~ 'Bordering State'"
Dayton,Flyers,Dayton Flyers,University of Dayton,Dayton,OH,,Pioneer,FCS,Welcome Stadium,"11,000",,,1903,,39.736912,-84.1981,"'IN','KY','MI','PA','WV'","'Dayton',","stateProvince=='OH'&college_state %in% c('IN','KY','MI','PA','WV') ~ 'Bordering State'"
Delaware,Fightin' Blue Hens,Delaware Fightin' Blue Hens,University of Delaware,Newark,DE,,CAA,FCS,Delaware Stadium,"18,309",,,1888,,39.661732,-75.748834,"'MD','NY','PA'","'Delaware',","stateProvince=='DE'&college_state %in% c('MD','NY','PA') ~ 'Bordering State'"
Delaware State,Hornets,Delaware State Hornets,Delaware State University,Dover,DE,,MEAC,FCS,Alumni Stadium,"7,000",,,1924,,39.189342,-75.54321,"'MD','NY','PA'","'Delaware State',","stateProvince=='DE'&college_state %in% c('MD','NY','PA') ~ 'Bordering State'"
