ID,Ranking,Name,Height in inches,wt in lbs,Hometown2,State2,Position,Rating,Stars,College,College lean,Conference,Committed,Committed to,pos_group
2021_161,79,Jalen Milroe,73.5,192,Katy  TX,TX,DUAL,0.9646,4,Texas,Texas,Big 12,Committed,Texas,QB
2021_295,80,Payton Page,76,335,Greensboro  NC,NC,DT,0.9645,4,Clemson100%,Clemson,ACC,Not Committed,,DL
2021_196,81,Jordan Hancock,73,170,Suwanee  GA,GA,CB,0.9642,4,Clemson,Clemson,ACC,Committed,Clemson,DB
2021_374,82,Wyatt Milum,78,273,Huntington  WV,WV,OT,0.9642,4,West Virginia,West Virginia,Big 12,Committed,West Virginia,OL
2021_68,83,Corey Collier,74,170,Miami  FL,FL,S,0.9639,4,N/A,N/A,Other,Not Committed,,DB
2021_121,84,Evan Pryor,70,190,Cornelius  NC,NC,RB,0.9622,4,Ohio State,Ohio State,Big Ten,Committed,Ohio State,RB
2021_30,85,Bram Walden,76,270,Scottsdale  AZ,AZ,OT,0.9615,4,Oregon,Oregon,Pac-12,Committed,Oregon,OL
2021_292,86,Nyland Green,74,183,Covington  GA,GA,CB,0.9611,4,Clemson100%,Clemson,ACC,Not Committed,,DB
2021_300,87,Preston Stone,74,205,Dallas  TX,TX,DUAL,0.9608,4,SMU,SMU,Other,Committed,SMU,QB
2021_327,88,Shadrach Banks,72,210,Houston  TX,TX,WR,0.9604,4,Texas A&M,Texas A&M,SEC,Committed,Texas A&M,WR
2021_18,89,Armoni Goodwin,68,190,Trussville  AL,AL,RB,0.9601,4,Auburn,Auburn,SEC,Committed,Auburn,RB
2021_84,90,Deion Smith,73.5,172,Jackson  MS,MS,WR,0.9601,4,LSU,LSU,SEC,Committed,LSU,WR
2021_342,91,Thomas Fidone,77,225,Council Bluffs  IA,IA,TE,0.9571,4,Nebraska93%,Nebraska,Big Ten,Not Committed,,TE
2021_362,92,Ty Thompson,76,200,Gilbert  AZ,AZ,PRO,0.9566,4,Oregon,Oregon,Pac-12,Committed,Oregon,QB
2021_41,93,Cade Denhoff,76.5,235,Lakeland  FL,FL,SDE,0.9563,4,Clemson,Clemson,ACC,Committed,Clemson,DL
2021_34,94,Brock Bowers,75,225,Napa  CA,CA,TE,0.956,4,Georgia100%,Georgia,SEC,Not Committed,,TE
2021_366,95,Tyreak Sapp,74.5,255,Fort Lauderdale  FL,FL,SDE,0.9558,4,Florida,Florida,SEC,Committed,Florida,DL
2021_63,96,Cody Jackson,72,175,Richmond  TX,TX,WR,0.9556,4,Oklahoma,Oklahoma,Big 12,Committed,Oklahoma,WR
2021_227,97,Keeshawn Silver,77,260,Rocky Mount  NC,NC,SDE,0.9545,4,North Carolina,North Carolina,ACC,Committed,North Carolina,DL
2021_60,98,Clayton Smith,76,220,Texarkana  TX,TX,WDE,0.9543,4,Oklahoma,Oklahoma,Big 12,Committed,Oklahoma,DL
2021_127,99,Garrett Nussmeier,73.5,182,Flower Mound  TX,TX,PRO,0.954,4,LSU,LSU,SEC,Committed,LSU,QB
2021_265,100,Marcus Tate,76.5,318,Fort Lauderdale  FL,FL,OG,0.9538,4,Clemson,Clemson,ACC,Committed,Clemson,OL
2021_228,101,Keith Brown,73,220,Lebanon  OR,OR,ILB,0.9536,4,Oregon,Oregon,Pac-12,Committed,Oregon,LB
2021_264,102,Marcus Burris,76,262,Texarkana  TX,TX,SDE,0.9533,4,Oklahoma100%,Oklahoma,Big 12,Not Committed,,DL
2021_303,103,Quaydarius Davis,72,193,Dallas  TX,TX,WR,0.9533,4,USC,USC,Pac-12,Committed,USC,WR
2021_25,104,Ben Christman,78,299,Richfield  OH,OH,OT,0.9527,4,Ohio State,Ohio State,Big Ten,Committed,Ohio State,OL
2021_243,105,Landon Jackson,78,240,Texarkana  TX,TX,WDE,0.9524,4,LSU,LSU,SEC,Committed,LSU,DL
2021_108,106,Drew Kendall,76,255,Dedham  MA,MA,OG,0.9522,4,Michigan86%,Michigan,Big Ten,Not Committed,,OL
2021_189,107,Jeremiah Williams,75,224,Birmingham  AL,AL,WDE,0.9518,4,Auburn100%,Auburn,SEC,Not Committed,,DL
2021_229,108,Kelvin Gilliam,75,250,Highland Springs  VA,VA,WDE,0.9517,4,Oklahoma100%,Oklahoma,Big 12,Not Committed,,DL
2021_253,109,Lorenzo Styles Jr.,73,170,Pickerington  OH,OH,WR,0.9509,4,Notre Dame,Notre Dame,Other,Committed,Notre Dame,WR
2021_94,110,Destyn Pazon,72,170,New Orleans  LA,LA,WR,0.9508,4,Florida State100%,Florida State,ACC,Not Committed,,WR
2021_207,111,Julien Simon,74,221,Tacoma  WA,WA,OLB,0.9505,4,USC,USC,Pac-12,Committed,USC,LB
2021_123,112,Gabriel Rubio,77.5,290,Saint Peters  MO,MO,DT,0.9496,4,Notre Dame,Notre Dame,Other,Committed,Notre Dame,DL
2021_21,113,Avante Dickerson,71,165,Omaha  NE,NE,CB,0.9487,4,Minnesota,Minnesota,Big Ten,Committed,Minnesota,DB
2021_89,114,Deontae Lawson,75,217,Mobile  AL,AL,ILB,0.9487,4,Alabama,Alabama,SEC,Committed,Alabama,LB
2021_282,115,Monkell Goodwine,76,260,Fort Washington  MD,MD,SDE,0.9482,4,N/A,N/A,Other,Not Committed,,DL
2021_209,116,Junior Colson,74,228,Brentwood  TN,TN,OLB,0.9476,4,Michigan,Michigan,Big Ten,Committed,Michigan,LB
2021_255,117,Lovasea Carroll,72.5,189,Bradenton  FL,FL,RB,0.9474,4,Georgia,Georgia,SEC,Committed,Georgia,RB
2021_117,118,Elliot Donald,74,250,Pittsburgh  PA,PA,DT,0.9473,4,Pittsburgh100%,Pittsburgh,Other,Not Committed,,DL
2021_141,119,Isaiah Brevard,76,200,Southaven  MS,MS,WR,0.9471,4,Ole Miss100%,Ole Miss,SEC,Not Committed,,WR
2021_326,120,Seven McGee,68,167,Rochester  NY,NY,RB,0.9465,4,Oregon,Oregon,Pac-12,Committed,Oregon,RB
2021_62,121,Cody Brown,72,227,Lilburn  GA,GA,RB,0.9461,4,Tennessee,Tennessee,SEC,Committed,Tennessee,RB
2021_330,122,Shemar Turner,75.5,260,DeSoto  TX,TX,SDE,0.9456,4,N/A,N/A,Other,Not Committed,,DL
2021_128,123,Gavin Blackwell,71.5,164,Monroe  NC,NC,WR,0.9454,4,North Carolina,North Carolina,ACC,Committed,North Carolina,WR
2021_288,124,Nathaniel Wiggins,74,170,Atlanta  GA,GA,CB,0.9446,4,USC86%,USC,Pac-12,Not Committed,,DB
2021_359,125,Troy Stellato,72,175,Fort Lauderdale  FL,FL,WR,0.9441,4,Clemson,Clemson,ACC,Committed,Clemson,WR
2021_86,126,Dematrius Davis,71,190,Houston  TX,TX,DUAL,0.9439,4,Auburn,Auburn,SEC,Committed,Auburn,QB
2021_246,127,Latrell McCutchin,73,176,Austin  TX,TX,CB,0.9433,4,Oklahoma90%,Oklahoma,Big 12,Not Committed,,DB
2021_3,128,Aaron Willis,71,207,Baltimore  MD,MD,OLB,0.9432,4,Tennessee,Tennessee,SEC,Committed,Tennessee,LB
2021_204,129,JP Benzschawel,79,260,Grafton  WI,WI,OT,0.9424,4,Wisconsin,Wisconsin,Big Ten,Committed,Wisconsin,OL
2021_57,130,Christian Leary,69,180,Orlando  FL,FL,WR,0.9423,4,Oklahoma100%,Oklahoma,Big 12,Not Committed,,WR
2021_242,131,Kyron Ware-Hudson,73,200,Santa Ana  CA,CA,WR,0.941,4,Oregon,Oregon,Pac-12,Committed,Oregon,WR
2021_315,132,Romello Brinson,74,180,Miami  FL,FL,WR,0.9409,4,Miami,Miami,ACC,Committed,Miami,WR
2021_162,133,Jalil Farooq,73,200,Upper Marlboro  MD,MD,WR,0.9408,4,Oklahoma100%,Oklahoma,Big 12,Not Committed,,WR
2021_257,134,Ma'a Gaoteote,74,220,Bellflower  CA,CA,OLB,0.9405,4,USC,USC,Pac-12,Committed,USC,LB
2021_112,135,Dylan Fairchild,77,298,Cumming  GA,GA,OG,0.9403,4,Georgia,Georgia,SEC,Committed,Georgia,OL
2021_325,136,Sawyer Robertson,75.5,190,Lubbock  TX,TX,PRO,0.9402,4,Mississippi State,Mississippi State,SEC,Committed,Mississippi State,QB
2021_81,137,David Davidkov,78,295,Winnetka  IL,IL,OT,0.9401,4,Iowa,Iowa,Big Ten,Committed,Iowa,OL
2021_38,138,Bryce Langston,74.5,250,Ocala  FL,FL,SDE,0.94,4,Florida100%,Florida,SEC,Not Committed,,DL
2021_183,139,Jaylin Davies,73,165,Santa Ana  CA,CA,CB,0.9397,4,Oregon93%,Oregon,Pac-12,Not Committed,,DB
2021_312,140,Reuben Fatheree,80,305,Richmond  TX,TX,OT,0.9392,4,Texas A&M,Texas A&M,SEC,Committed,Texas A&M,OL
2021_12,141,Andre Turrentine,72,175,Nashville  TN,TN,S,0.9391,4,Ohio State,Ohio State,Big Ten,Committed,Ohio State,DB
2021_155,142,Jahvaree Ritzie,76.5,274,Kernersville  NC,NC,SDE,0.9372,4,North Carolina,North Carolina,ACC,Committed,North Carolina,DL
2021_230,143,Kendal Daniels,76,190,Beggs  OK,OK,S,0.9368,4,Oklahoma100%,Oklahoma,Big 12,Not Committed,,DB
2021_375,144,Wynden Ho'ohuli,75,220,Mililani  HI,HI,ILB,0.9367,4,Washington100%,Washington,Pac-12,Not Committed,,LB
2021_195,145,Jonathan Jefferson,76,255,Douglasville  GA,GA,SDE,0.9362,4,Georgia,Georgia,SEC,Committed,Georgia,DL
2021_214,146,Kaemen Marley,74,206,Ramseur  NC,NC,ATH,0.9357,4,Tennessee,Tennessee,SEC,Committed,Tennessee,ATH
2021_346,147,TJ Bollers,75,250,Tiffin  IA,IA,WDE,0.9356,4,Wisconsin,Wisconsin,Big Ten,Committed,Wisconsin,DL
2021_153,148,Jaeden Roberts,77,340,Houston  TX,TX,OG,0.9355,4,Auburn,Auburn,SEC,Committed,Auburn,OL
2021_144,149,J.Michael Sturdivant,74,183,Flower Mound  TX,TX,WR,0.9351,4,N/A,N/A,Other,Not Committed,,WR
2021_233,150,Ketron Jackson,74,186,Royse City  TX,TX,WR,0.9351,4,TCU46%,TCU,Big 12,Not Committed,,WR
2021_281,151,Moliki Matavao,78,240,Henderson  NV,NV,TE,0.9348,4,Oregon,Oregon,Pac-12,Committed,Oregon,TE
2021_305,152,Quintin Somerville,73,230,Scottsdale  AZ,AZ,SDE,0.9348,4,Michigan100%,Michigan,Big Ten,Not Committed,,DL
2021_277,153,Michael Trigg,76,230,Tampa  FL,FL,TE,0.9338,4,Auburn75%,Auburn,SEC,Not Committed,,TE
